name,hasCustomObject,keyPrefix,label,labelPlural,createable,updateable,deletable,activateable,associateEntityType,associateParentEntity,compactLayoutable,custom,customSetting,deepCloneable,defaultImplementation,deprecatedAndHidden,feedEnabled,hasSubtypes,idEnabled,implementedBy,implementsInterfaces,isInterface,isSubtype,layoutable,mergeable,mruEnabled,networkScopeFieldName,queryable,replicateable,retrieveable,searchable,undeletable,DescribeFields,searchLayoutable,triggerable,RecordTypeInfos
AssetDowntimePeriod,true,0gP,Asset Downtime Period,Asset Downtime Periods,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AssetRelationship,true,1AR,Asset Relationship,Asset Relationships,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AssetStatePeriod,true,4nK,Asset State Period,Asset State Periods,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,true,false,,true,true,
AssetStatePeriodAttribute,,14Z,Asset State Period Attribute,Asset State Period Attributes,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,false,true,false,false,,,,
AssetTokenEvent,,0Li,Asset Token Event,Asset Token Events,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,false,false,false,false,false,,,true,
AssetWarranty,true,4xo,Asset Warranty,Asset Warranties,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AssignedResource,true,03r,Assigned Resource,Assigned Resources,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,true,,,true,
AssignmentRule,,01Q,Assignment Rule,Assignment Rules,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,true,false,,,,
AssistantProgress,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AssociatedLocation,true,0Kt,Associated Location,Associated Locations,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,true,,,true,
AsyncOperationEvent,,0Xw,Async Operation Event,Async Operation Events,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,false,false,false,false,false,,,true,
AsyncOperationStatus,,0YD,Async Operation Status,Async Operation Status,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,false,false,false,false,false,,,true,
AsyncOperationTracker,true,16P,Async Operation Tracker,Async Operation Trackers,false,false,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,false,,,,
AttachedContentDocument,,,Attached Content Document,Attached Content Documents,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,false,false,false,false,false,,,,
AttachedContentNote,,,Note,Notes,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,false,false,false,false,false,,,,
Attachment,,00P,Attachment,Attachments,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,true,true,,,true,
AttributeDefinition,true,0tj,Attribute Definition,Attribute Definitions,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AttributePicklist,true,0v5,Attribute Picklist,Attribute Picklists,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AttributePicklistValue,true,0v6,Attribute Picklist Value,Attribute Picklist Values,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
Audience,,6Au,Audience,Audiences,false,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AuditTrailFileExport,true,7Pr,Audit Trail File Export,Audit Trail File Exports,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,,,,
AuraDefinition,,0Ad,Lightning Component Definition,Lightning Component Definitions,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AuraDefinitionBundle,,0Ab,Aura Component Bundle,Aura Component Bundles,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AuraDefinitionBundleInfo,,0ab,Aura Definition Bundle Info,Aura Definition Bundle Infos,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
